sim_id,w_r,h_si,doping,S,lambda,length,v_pi_V,v_pi_l_Vmm,loss_at_v_pi_dB_per_cm,C_at_v_pi_pF_per_cm,max_dphi_rad,cost
145,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.748714e+00,1.000000e+09
146,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.745432e+00,1.000000e+09
147,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.746484e+00,1.000000e+09
148,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.749639e+00,1.000000e+09
149,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.746575e+00,1.000000e+09
150,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.749643e+00,1.000000e+09
151,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.747015e+00,1.000000e+09
152,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.749760e+00,1.000000e+09
153,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.749665e+00,1.000000e+09
154,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.746656e+00,1.000000e+09
155,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.749367e+00,1.000000e+09
156,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.749277e+00,1.000000e+09
157,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.749990e+00,1.000000e+09
158,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.746749e+00,1.000000e+09
159,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.744762e+00,1.000000e+09
160,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.749596e+00,1.000000e+09
